mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
5187,102,79,50,3,2,12,2,5,4
4835,109,91,54,3,0,8,2,17,6
4836,112,87,47,2,0,11,1,4,6
5192,84,91,47,4,2,15,3,12,11
5243,83,84,31,6,6,3,2,7,17
5241,86,75,33,6,3,15,1,13,9
5193,108,69,39,6,2,12,3,6,11
5195,84,90,33,2,0,11,2,6,13
5058,93,98,39,5,4,13,4,3,5
5059,73,106,37,5,1,17,4,5,5
5242,95,60,41,7,2,7,1,6,14
5055,109,64,43,2,2,14,4,4,2
5056,107,95,25,1,1,21,1,3,10
5057,84,90,30,2,3,9,4,5,6
5054,79,98,41,2,2,19,5,3,5
5037,72,114,3,4,1,22,0,2,14
5033,96,83,30,5,5,13,4,4,13
5038,138,54,33,3,2,8,5,2,9
5032,63,115,42,2,2,13,4,5,7
5036,87,93,55,5,2,14,3,3,3
5133,104,70,36,7,2,7,2,1,10
5035,78,96,24,7,4,12,4,4,0
5034,88,111,31,2,2,13,8,3,6
5028,97,101,22,5,0,14,5,12,9
5031,101,94,42,3,1,11,2,1,5
5134,84,111,37,2,3,12,5,6,5
5030,97,101,32,3,7,16,1,5,3
5027,84,77,43,4,9,16,5,3,8
5029,115,80,28,8,3,10,1,2,8
5026,121,87,33,3,1,10,6,3,6
5024,84,93,36,2,4,13,2,2,8
5025,93,87,30,0,2,9,3,6,9
4824,90,77,39,1,3,18,4,5,10
6365,141,77,7,0,2,0,0,6,0
4829,100,75,49,4,2,14,2,9,8
6364,134,87,5,0,0,1,0,9,1
4821,84,81,29,9,5,17,2,8,14
5239,72,34,40,0,2,7,0,1,3
4871,107,54,44,10,2,12,7,8,7
4861,109,61,41,11,2,8,4,3,9
4900,107,49,34,2,2,7,3,27,3
4920,109,63,36,2,4,7,3,23,9
4862,104,55,39,5,4,8,0,11,8
6346,132,135,14,0,0,2,3,20,2
6349,114,96,13,0,2,0,0,9,3
